system:time_start,undefined
"Jun 7, 2014",17.307
"Jun 8, 2014",0
"Jun 9, 2014",11.538
"Jun 10, 2014",0
"Jun 11, 2014",0
"Jun 12, 2014",32.353
"Jun 13, 2014",0
"Jun 14, 2014",0
"Jun 15, 2014",0
"Jun 16, 2014",15.774
"Jun 17, 2014",15.774
"Jun 18, 2014",0
"Jun 19, 2014",0
"Jun 20, 2014",0
"Jun 21, 2014",14.906
"Jun 22, 2014",0
"Jun 23, 2014",14.906
"Jun 24, 2014",14.906
"Jun 25, 2014",14.906
"Jun 26, 2014",10.657
"Jun 27, 2014",10.657
"Jun 28, 2014",0
"Jun 29, 2014",10.657
"Jun 30, 2014",21.314
"Jul 1, 2014",0
"Jul 2, 2014",0
"Jul 3, 2014",22.949
"Jul 4, 2014",45.898
"Jul 5, 2014",22.949
"Jul 6, 2014",0
"Jul 7, 2014",0
"Jul 8, 2014",33.225
"Jul 9, 2014",33.225
"Jul 10, 2014",0
"Jul 11, 2014",13.264
"Jul 12, 2014",53.054
"Jul 13, 2014",0
"Jul 14, 2014",26.527
"Jul 15, 2014",39.791
"Jul 16, 2014",0
"Jul 17, 2014",0
"Jul 18, 2014",0
"Jul 19, 2014",0
"Jul 20, 2014",0
"Jul 21, 2014",0
"Jul 22, 2014",50.296
"Jul 23, 2014",75.445
"Jul 24, 2014",0
"Jul 25, 2014",25.148
"Jul 26, 2014",13.214
"Jul 27, 2014",13.214
"Jul 28, 2014",0
"Jul 29, 2014",26.428
"Jul 30, 2014",26.428
"Jul 31, 2014",13.214
"Aug 1, 2014",20.411
"Aug 2, 2014",20.411
"Aug 3, 2014",0
"Aug 4, 2014",0
"Aug 5, 2014",0
"Aug 6, 2014",0
"Aug 7, 2014",0
"Aug 8, 2014",45.371
"Aug 9, 2014",0
"Aug 10, 2014",0
"Aug 11, 2014",0
"Aug 12, 2014",19.657
"Aug 13, 2014",39.315
"Aug 14, 2014",39.315
"Aug 15, 2014",0
"Aug 16, 2014",0
"Aug 17, 2014",0
"Aug 18, 2014",37.999
"Aug 19, 2014",0
"Aug 20, 2014",0
"Aug 21, 2014",0
"Aug 22, 2014",34.156
"Aug 23, 2014",0
"Aug 24, 2014",34.156
"Aug 25, 2014",34.156
"Aug 26, 2014",48.61
"Aug 27, 2014",9.722
"Aug 28, 2014",9.722
"Aug 29, 2014",9.722
"Aug 30, 2014",19.444
"Aug 31, 2014",19.444
"Sep 1, 2014",0
"Sep 2, 2014",23.937
"Sep 3, 2014",0
"Sep 4, 2014",0
"Sep 5, 2014",23.937
"Sep 6, 2014",0
"Sep 7, 2014",0
"Sep 8, 2014",68.264
"Sep 9, 2014",17.066
"Sep 10, 2014",0
"Sep 11, 2014",0
"Sep 12, 2014",18.117
"Sep 13, 2014",18.117
"Sep 14, 2014",0
"Sep 15, 2014",18.117
"Sep 16, 2014",0
"Sep 17, 2014",0
"Sep 18, 2014",38.42
"Sep 19, 2014",87.816
"Sep 20, 2014",0
"Sep 21, 2014",0
"Sep 22, 2014",0
"Sep 23, 2014",0
"Sep 24, 2014",0
"Sep 25, 2014",0
"Sep 26, 2014",0
"Sep 27, 2014",0
"Sep 28, 2014",0
"Sep 29, 2014",0
"Sep 30, 2014",0
"Oct 1, 2014",0
"Oct 2, 2014",0
"Oct 3, 2014",0
"Oct 4, 2014",0
"Oct 5, 2014",0
"Oct 6, 2014",0
